CustomerKey,Full Name,DateFirstPurchase,Customer City,address1,address2,phone,source_system_code,start_date,end_date,is_current
11037,Chloe Garcia,1/20/2021,Cliffside,8915 Woodside Way,NULL,229-555-0112,1,09:46.0,NULL,1
11038,Diana Hernandez,2/7/2019,Lavender Bay,8357 Sandy Cove Lane,NULL,1 (11) 500 555-0114,1,09:46.0,NULL,1
11039,Marc Martin,2/7/2019,Wollongong,9353 Creekside Dr.,NULL,1 (11) 500 555-0183,1,09:46.0,NULL,1
11040,Jesse Murphy,4/3/2021,Tacoma,3350 Kingswood Circle,NULL,961-555-0176,1,09:46.0,NULL,1
11041,Amanda Carter,1/14/2021,Glendale,5826 Escobar,NULL,295-555-0145,1,09:46.0,NULL,1
11042,Megan Sanchez,1/21/2021,Los Angeles,1397 Paraiso Ct.,NULL,404-555-0199,1,09:46.0,NULL,1
11043,Nathan Simmons,5/8/2021,Glendale,1170 Shaw Rd,NULL,296-555-0181,1,09:46.0,NULL,1
11044,Adam Flores,2/28/2019,Hervey Bay,6935 Candle Dr,NULL,1 (11) 500 555-0163,1,09:46.0,NULL,1
11045,Leonard Nara,4/10/2021,Matraville,7466 La Vista Ave.,NULL,1 (11) 500 555-0151,1,09:46.0,NULL,1
11046,Christine Yuan,2/6/2019,Lavender Bay,2356 Orange St,NULL,1 (11) 500 555-0113,1,09:46.0,NULL,1
11047,Jaclyn Lu,2/3/2019,Geelong,2812 Mazatlan,NULL,1 (11) 500 555-0137,1,09:46.0,NULL,1
11048,Jeremy Powell,2/10/2019,Sunbury,1803 Potomac Dr.,NULL,1 (11) 500 555-0183,1,09:46.0,NULL,1
11049,Carol Rai,3/9/2021,Chula Vista,6064 Madrid,NULL,654-555-0180,1,09:46.0,NULL,1
11050,Alan Zheng,2/20/2019,Hobart,2741 Gainborough Dr.,NULL,1 (11) 500 555-0135,1,09:46.0,NULL,1
11051,Daniel Johnson,12/29/2021,Caloundra,8085 Sunnyvale Avenue,NULL,1 (11) 500 555-0155,1,09:46.0,NULL,1
11052,Heidi Lopez,2/17/2019,Matraville,2514 Via Cordona,NULL,1 (11) 500 555-0168,1,09:46.0,NULL,1
11053,Ana Price,1/17/2021,San Diego,1660 Stonyhill Circle,NULL,859-555-0113,1,09:46.0,NULL,1
11054,Deanna Munoz,2/3/2019,Geelong,5825 B Way,NULL,1 (11) 500 555-0192,1,09:46.0,NULL,1
11055,Gilbert Raje,1/31/2019,East Brisbane,8811 The Trees Dr.,NULL,1 (11) 500 555-0129,1,09:46.0,NULL,1
11056,Michele Nath,2/26/2019,Newcastle,5464 Janin Pl.,NULL,1 (11) 500 555-0178,1,09:46.0,NULL,1
11057,Carl Andersen,2/22/2019,Lane Cove,6930 Lake Nadine Place,NULL,1 (11) 500 555-0181,1,09:46.0,NULL,1
11058,Marc Diaz,3/9/2019,Findon,6645 Sinaloa,NULL,1 (11) 500 555-0149,1,09:46.0,NULL,1
11059,Ashlee Andersen,2/18/2021,Townsville,8255 Highland Road,NULL,1 (11) 500 555-0112,1,09:46.0,NULL,1
11060,Jon Zhou,3/19/2019,Warrnambool,6574 Hemlock Ave.,NULL,1 (11) 500 555-0174,1,09:46.0,NULL,1
11061,Todd Gao,3/13/2019,Gold Coast,8808 Geneva Ave,NULL,1 (11) 500 555-0191,1,09:46.0,NULL,1
11062,Noah Powell,1/7/2021,Portland,9794 Marion Ct,NULL,767-555-0113,1,09:46.0,NULL,1
11063,Angela Murphy,1/12/2021,Redmond,4927 Virgil Street,# 21,451-555-0162,1,09:46.0,NULL,1
11064,Chase Reed,1/25/2021,Downey,2721 Alexander Pl.,NULL,892-555-0184,1,09:46.0,NULL,1
11065,Jessica Henderson,2/10/2021,La Jolla,9343 Ironwood Way,NULL,278-555-0186,1,09:46.0,NULL,1
11066,Grace Butler,5/31/2021,Lebanon,4739 Garden Ave.,NULL,712-555-0141,1,09:46.0,NULL,1
11067,Caleb Carter,8/18/2021,Port Orchard,9563 Pennsylvania Blvd.,NULL,944-555-0167,1,09:46.0,NULL,1
11068,Tiffany Liang,4/30/2021,Warrnambool,3608 Sinclair Avenue,# 701,1 (11) 500 555-0177,1,09:46.0,NULL,1
11069,Carolyn Navarro,4/17/2019,Gold Coast,4606 Springwood Court,NULL,1 (11) 500 555-0145,1,09:46.0,NULL,1
11070,Willie Raji,4/28/2019,Sunbury,6260 Vernal Drive,NULL,1 (11) 500 555-0151,1,09:46.0,NULL,1
11071,Linda Serrano,3/1/2021,Hawthorne,9808 Shaw Rd.,NULL,1 (11) 500 555-0130,1,09:46.0,NULL,1
11072,Casey Luo,3/31/2019,St. Leonards,9513 Roslyn Drive,NULL,1 (11) 500 555-0125,1,09:46.0,NULL,1
11073,Amy Ye,3/23/2021,Springwood,2262 Kirkwood Ct.,NULL,1 (11) 500 555-0185,1,09:46.0,NULL,1
11074,Levi Arun,3/23/2021,Cloverdale,4661 Bluetail,NULL,1 (11) 500 555-0127,1,09:46.0,NULL,1
11075,Felicia Jimenez,4/28/2019,Bendigo,786 Eastgate Ave,NULL,1 (11) 500 555-0165,1,09:46.0,NULL,1
11076,Blake Anderson,4/21/2019,Wollongong,5436 Clear,# 101,1 (11) 500 555-0113,1,09:46.0,NULL,1
11077,Leah Ye,4/15/2019,Melton,1291 Arguello Blvd.,NULL,1 (11) 500 555-0154,1,09:46.0,NULL,1
11078,Gina Martin,2/15/2021,Cliffside,1349 Sol St.,NULL,196-555-0114,1,09:46.0,NULL,1
11079,Donald Gonzalez,3/15/2021,Geelong,4236 Malibu Place,NULL,1 (11) 500 555-0137,1,09:46.0,NULL,1
11080,Damien Chander,4/10/2019,Perth,9941 Stonehedge Dr.,NULL,1 (11) 500 555-0111,1,09:46.0,NULL,1
11081,Savannah Baker,2/12/2021,Concord,1210 Trafalgar Circle,NULL,478-555-0117,1,09:46.0,NULL,1
11082,Angela Butler,1/22/2021,Fremont,6040 Listing Ct,NULL,579-555-0195,1,09:46.0,NULL,1
11083,Alyssa Cox,1/6/2021,Lincoln Acres,867 La Orinda Place,NULL,561-555-0140,1,09:46.0,NULL,1
11084,Lucas Phillips,1/4/2021,Lebanon,8668 St. Celestine Court,NULL,863-555-0172,1,09:46.0,NULL,1
11085,Emily Johnson,12/6/2021,Newport Beach,7926 Stephanie Way,NULL,850-555-0184,1,09:46.0,NULL,1
11086,Ryan Brown,7/2/2021,Santa Monica,2939 Wesley Ct.,NULL,539-555-0198,1,09:46.0,NULL,1
11087,Tamara Liang,2/25/2021,Chula Vista,3791 Rossmor Parkway,NULL,178-555-0152,1,09:46.0,NULL,1
11088,Hunter Davis,1/13/2021,San Diego,4308 Sand Pointe Lane,NULL,612-555-0141,1,09:46.0,NULL,1
11089,Abigail Price,12/29/2020,Long Beach,2685 Blackburn Ct,NULL,532-555-0117,1,09:46.0,NULL,1
11090,Trevor Bryant,8/7/2019,Los Angeles,5781 Sharon Dr.,NULL,853-555-0174,1,09:46.0,NULL,1
11091,Dalton Perez,1/29/2021,Haney,6083 San Jose,NULL,559-555-0115,1,09:46.0,NULL,1
11092,Cheryl Diaz,4/8/2019,East Brisbane,7297 Kaywood Drive,NULL,1 (11) 500 555-0192,1,09:46.0,NULL,1
11093,Aimee He,4/7/2019,Wollongong,1833 Olympic Drive,NULL,1 (11) 500 555-0161,1,09:46.0,NULL,1
11094,Cedric Ma,4/7/2021,Cranbourne,3407 Oak Brook Place,NULL,1 (11) 500 555-0115,1,09:46.0,NULL,1
11095,Chad Kumar,4/1/2019,Port Macquarie,1681 Lighthouse Way,NULL,1 (11) 500 555-0151,1,09:46.0,NULL,1
11096,Andrés Anand,4/11/2019,North Sydney,5423 Los Gatos Ct.,NULL,1 (11) 500 555-0184,1,09:46.0,NULL,1
11097,Edwin Nara,4/4/2019,Warrnambool,719 William Way,NULL,1 (11) 500 555-0112,1,09:46.0,NULL,1
11098,Mallory Rubio,2/11/2021,Rhodes,6452 Harris Circle,NULL,1 (11) 500 555-0157,1,09:46.0,NULL,1
11099,Adam Ross,4/7/2019,Port Macquarie,4378 Westminster Place,NULL,1 (11) 500 555-0186,1,09:46.0,NULL,1
11100,Latasha Navarro,4/16/2019,Cloverdale,6954 Ranch Road,NULL,1 (11) 500 555-0123,1,09:46.0,NULL,1
11101,Abby Sai,4/29/2019,Cranbourne,7074 N. Spoonwood Court,NULL,1 (11) 500 555-0174,1,09:46.0,NULL,1
11102,Julia Nelson,7/16/2021,Sydney,2196 Coat Ct.,NULL,1 (11) 500 555-0124,1,09:46.0,NULL,1
11103,Cassie Chande,4/15/2019,Darlinghurst,9448 San Marino Ct.,NULL,1 (11) 500 555-0166,1,09:46.0,NULL,1
11104,Edgar Sara,5/4/2019,Gold Coast,6127 Lilly Lane,NULL,1 (11) 500 555-0125,1,09:46.0,NULL,1
11105,Candace Fernandez,5/14/2019,Matraville,5029 Blue Ridge,NULL,1 (11) 500 555-0162,1,09:46.0,NULL,1
11106,Jessie Liu,5/18/2019,Warrnambool,3063 Blue Jay Drive,NULL,1 (11) 500 555-0163,1,09:46.0,NULL,1
11107,Bianca Lin,5/1/2019,St. Leonards,7530 Eola,NULL,1 (11) 500 555-0121,1,09:46.0,NULL,1
11108,Kari Alvarez,5/3/2019,Port Macquarie,9178 Thornhill Place,NULL,1 (11) 500 555-0169,1,09:46.0,NULL,1
11109,Ruben Kapoor,5/10/2019,South Melbourne,1984 Glendale Circle,NULL,1 (11) 500 555-0132,1,09:46.0,NULL,1
11110,Curtis Yang,5/1/2019,Darlinghurst,4052 Mt. Wilson Way,NULL,1 (11) 500 555-0127,1,09:46.0,NULL,1
11111,Meredith Gutierrez,5/20/2019,Geelong,7610 Northridge Ct.,NULL,1 (11) 500 555-0179,1,09:46.0,NULL,1
11112,Crystal Wang,5/25/2019,Hervey Bay,2773 Kirkwood Dr,NULL,1 (11) 500 555-0134,1,09:46.0,NULL,1
11113,Micheal Blanco,2/1/2021,Perth,596 Marfargoa Drive,NULL,1 (11) 500 555-0131,1,09:46.0,NULL,1
11114,Leslie Moreno,3/18/2021,Rhodes,7941 Cristobal,NULL,1 (11) 500 555-0115,1,09:46.0,NULL,1
11115,Alvin Cai,2/10/2021,St. Leonards,7759 Azalea Avenue,NULL,1 (11) 500 555-0191,1,09:46.0,NULL,1
11116,Clinton Carlson,3/15/2021,Sydney,7943 Cunha Ct.,NULL,1 (11) 500 555-0184,1,09:46.0,NULL,1
11117,April Deng,5/6/2019,Matraville,485 Ash Lane,NULL,1 (11) 500 555-0182,1,09:46.0,NULL,1
11118,Alvin Zeng,7/10/2021,Lavender Bay,3853 Wildcat Circle,Unit 13c12,1 (11) 500 555-0174,1,09:46.0,NULL,1
11119,Evan James,2/3/2021,Port Macquarie,4157 Sierra Ridge,NULL,1 (11) 500 555-0187,1,09:46.0,NULL,1
11120,Beth Jiménez,5/14/2019,Sydney,7401 Las Palmas,NULL,1 (11) 500 555-0164,1,09:46.0,NULL,1
11121,Orlando Suarez,6/24/2021,Newcastle,7743 Hames Dr,NULL,1 (11) 500 555-0198,1,09:46.0,NULL,1
11122,Byron Vazquez,2/21/2021,North Sydney,3187 Hackamore Lane,NULL,1 (11) 500 555-0136,1,09:46.0,NULL,1
11123,Philip Alvarez,4/17/2021,Sunbury,2775 Mt. Olivet Pl.,NULL,1 (11) 500 555-0191,1,09:46.0,NULL,1
11124,Ross Jordan,5/5/2019,Warrnambool,6973 Dublin Court,NULL,1 (11) 500 555-0126,1,09:46.0,NULL,1
11125,Dana Navarro,1/31/2021,Seaford,8481 Zartop Street,NULL,1 (11) 500 555-0172,1,09:46.0,NULL,1
11126,Shaun Carson,5/28/2019,North Ryde,57 Wolf Way,NULL,1 (11) 500 555-0155,1,09:46.0,NULL,1
11127,Jan Edwards,4/10/2021,San Gabriel,9409 The Alameda,NULL,111-555-0118,1,09:46.0,NULL,1
11128,Samantha Long,6/19/2021,Renton,1606 Alderwood Lane,NULL,175-555-0139,1,09:46.0,NULL,1
11129,Julia Wright,8/6/2019,Sedro Woolley,7397 Central Blvd.,NULL,456-555-0174,1,09:46.0,NULL,1
11130,Caroline Russell,12/9/2021,Lebanon,3884 Bates Court,NULL,424-555-0137,1,09:46.0,NULL,1
11131,Amanda Rivera,10/18/2021,Haney,9573 Royal Oak Rd.,NULL,918-555-0126,1,09:46.0,NULL,1
11132,Melissa Richardson,4/9/2021,Langford,6832 Fruitwood Dr,NULL,928-555-0118,1,09:46.0,NULL,1
11133,Angela Griffin,12/30/2021,Lake Oswego,3828 Baltic Sea Ct,NULL,598-555-0174,1,09:46.0,NULL,1
11134,Larry Townsend,5/3/2019,Perth,7034 Carson,NULL,1 (11) 500 555-0130,1,09:46.0,NULL,1
11135,Marcus Harris,4/18/2021,Burlingame,9068 Quiet Place Drive,NULL,442-555-0119,1,09:46.0,NULL,1
11136,Brianna Morgan,1/3/2021,Metchosin,9005 Eagle Ct.,NULL,954-555-0117,1,09:46.0,NULL,1
11137,Jasmine Taylor,7/31/2021,Spokane,2457 Matterhorn Court,NULL,557-555-0146,1,09:46.0,NULL,1
11138,Lauren Davis,9/19/2021,Glendale,8105 Pembrook Court,NULL,832-555-0121,1,09:46.0,NULL,1
11139,Tanya Moreno,9/14/2021,Cloverdale,6155 Wilbur Drive,NULL,1 (11) 500 555-0185,1,09:46.0,NULL,1
11140,Javier Alvarez,3/19/2021,Burbank,8935 Etcheverry Dr.,NULL,763-555-0134,1,09:46.0,NULL,1
11141,Nicole Ramirez,5/16/2021,Daly City,1101 C Street,NULL,152-555-0162,1,09:46.0,NULL,1
11142,Eduardo Patterson,2/13/2021,Langford,6255 Macalvey Dr.,NULL,190-555-0184,1,09:46.0,NULL,1
11143,Jonathan Henderson,6/15/2021,Lakewood,165 East Lane Road,NULL,149-555-0113,1,09:46.0,NULL,1
11144,Edward Hernandez,1/25/2021,Ballard,7607 Pine Hollow Road,NULL,178-555-0196,1,09:46.0,NULL,1
11145,Jasmine Coleman,1/25/2021,Beaverton,1961 Oak Grove Road,NULL,857-555-0115,1,09:46.0,NULL,1
11146,Karla Goel,2/5/2021,Matraville,3272 Corrie Lane,NULL,1 (11) 500 555-0137,1,09:46.0,NULL,1
11147,Ernest Wu,5/13/2019,Warrnambool,1832 RiverRock Dr,NULL,1 (11) 500 555-0139,1,09:46.0,NULL,1
11148,Ross Vazquez,3/7/2021,East Brisbane,1201 Paso Del Rio Way,NULL,1 (11) 500 555-0163,1,09:46.0,NULL,1
11149,Theodore Gill,6/4/2021,Hervey Bay,9120 Pinewood Court,NULL,1 (11) 500 555-0194,1,09:46.0,NULL,1
11150,Russell Shen,3/27/2021,Sunbury,4755 Easley Drive,NULL,1 (11) 500 555-0191,1,09:46.0,NULL,1
11151,Melinda Gill,5/15/2019,Sydney,805 Rainier Dr.,NULL,1 (11) 500 555-0117,1,09:46.0,NULL,1
11152,James Williams,1/9/2021,Puyallup,6827 Seagull Court,NULL,355-555-0153,1,09:46.0,NULL,1
11153,Angela James,3/29/2021,Renton,8877 Weatherly Drive,NULL,847-555-0111,1,09:46.0,NULL,1
11154,Megan Walker,1/10/2021,Woodburn,6898 Holiday Hills,NULL,918-555-0186,1,09:46.0,NULL,1
11155,Hunter Robinson,1/6/2021,Burbank,8356 Mori Court,NULL,891-555-0125,1,09:46.0,NULL,1
11156,Maria Roberts,1/8/2021,Lakewood,9452 Mariposa Ct.,NULL,158-555-0199,1,09:46.0,NULL,1
11157,Hannah Long,7/24/2021,Tacoma,1832 Preston Ct.,NULL,974-555-0177,1,09:46.0,NULL,1
11158,Jason Wright,1/19/2021,San Gabriel,6771 Bundros Court,NULL,694-555-0176,1,09:46.0,NULL,1
11159,Brianna Hughes,9/8/2021,Woodland Hills,6793 Bonifacio St.,NULL,319-555-0183,1,09:46.0,NULL,1
11160,Maurice Tang,2/21/2021,Concord,2886 Chaparral Court,Space # 45,947-555-0172,1,09:46.0,NULL,1
11161,Emily Wood,6/1/2021,Concord,1562 Black Walnut,NULL,184-555-0114,1,09:46.0,NULL,1
11162,Chase Cox,2/18/2021,La Jolla,P.O. Box 8070,NULL,764-555-0116,1,09:46.0,NULL,1
11163,Gabriel Wang,5/1/2021,Spring Valley,8002 Crane Court,NULL,617-555-0150,1,09:46.0,NULL,1
11164,Devin Brooks,4/27/2021,Torrance,4231 Highland Dr.,NULL,502-555-0138,1,09:46.0,NULL,1
11165,Jocelyn Alexander,5/25/2021,Oakland,3376 Bank Way,NULL,354-555-0134,1,09:46.0,NULL,1
11166,Ashley Martinez,10/14/2021,Olympia,6993 Whyte Park Ave.,NULL,131-555-0194,1,09:46.0,NULL,1
11167,Jasmine Barnes,1/7/2021,Issaquah,9183 Via Del Sol,NULL,178-555-0156,1,09:46.0,NULL,1
11168,David Rodriguez,1/15/2021,Oakland,38 Shangri-la Rd.,NULL,730-555-0128,1,09:46.0,NULL,1
11169,Bryce Richardson,5/26/2021,Coronado,1841 Blackwood Drive,NULL,178-555-0176,1,09:46.0,NULL,1
11170,Carol Howard,8/26/2021,Burien,6281 Edward Ave,NULL,845-555-0127,1,09:46.0,NULL,1
11171,Jonathan Hill,8/20/2019,Woodland Hills,3731 Chinquapin Ct,NULL,134-555-0196,1,09:46.0,NULL,1
11172,Gabrielle Adams,5/3/2021,Lynnwood,5621 Arcadia Pl.,NULL,403-555-0152,1,09:46.0,NULL,1
11173,Sarah Thomas,3/2/2021,W. Linn,5636 Mt. Whitney Dr.,NULL,868-555-0188,1,09:46.0,NULL,1
11174,Nicholas Robinson,7/13/2021,Los Angeles,1318 Lasalle Street,NULL,949-555-0138,1,09:46.0,NULL,1
11175,Luis Wang,8/28/2019,Beverly Hills,6943 Patterson Blvd.,NULL,418-555-0127,1,09:46.0,NULL,1
11176,Mason Roberts,2/2/2021,Haney,5753 Megan Dr.,NULL,539-555-0162,1,09:46.0,NULL,1
11177,Jose Flores,3/29/2021,San Diego,3991 Rambling Rose Drive,NULL,157-555-0182,1,09:46.0,NULL,1
11178,Nathan Johnson,2/21/2021,Lakewood,8927 Daylight Place,NULL,117-555-0182,1,09:46.0,NULL,1
11179,Molly Rodriguez,3/12/2021,Beverly Hills,5556 Riverland Dr.,NULL,135-555-0185,1,09:46.0,NULL,1
11180,April Anand,3/17/2021,Chula Vista,3531 Brookview Drive,NULL,702-555-0144,1,09:46.0,NULL,1
11181,Devin Martin,5/7/2021,Los Angeles,1085 Greenbelt Way,Unit B-105,735-555-0197,1,09:46.0,NULL,1
11182,Stephanie Torres,8/28/2021,Sedro Woolley,6968 Mildred Ln.,NULL,567-555-0176,1,09:46.0,NULL,1
11183,Jasmine Lee,4/30/2021,Santa Cruz,7502 Contuti Avenue,NULL,147-555-0199,1,09:46.0,NULL,1
11184,Meghan Hernandez,8/10/2021,Concord,5872 L St.,NULL,967-555-0188,1,09:46.0,NULL,1
11185,Ashley Henderson,2/21/2021,Metchosin,8834 San Jose Ave.,NULL,173-555-0121,1,09:46.0,NULL,1
11186,Sarah Price,10/18/2021,Palo Alto,4815 Paraiso Ct.,NULL,180-555-0133,1,09:46.0,NULL,1
11187,Jennifer Cooper,4/3/2021,Burien,2429 Longview Road,NULL,857-555-0111,1,09:46.0,NULL,1
11188,Catherine Morris,11/1/2021,San Gabriel,6542 Stonewood Drive,NULL,795-555-0117,1,09:46.0,NULL,1
11189,Lawrence Blanco,8/26/2019,Bellingham,7502 Contuti Avenue,NULL,656-555-0171,1,09:46.0,NULL,1
11190,Carson Bryant,8/28/2021,Beverly Hills,2995 Youngsdale Dr.,NULL,240-555-0142,1,09:46.0,NULL,1
11191,Kristi Perez,8/11/2019,Colma,1769 Lislin Ct,NULL,123-555-0181,1,09:46.0,NULL,1
11192,James Brown,6/23/2021,Seattle,673 Old Mountain View Dr.,NULL,725-555-0117,1,09:46.0,NULL,1
11193,Ian Gray,2/25/2021,Woodburn,5941 Gill Dr.,NULL,596-555-0190,1,09:46.0,NULL,1
11194,Jacqueline Price,3/13/2021,Palo Alto,872 Mark Twain Dr,NULL,266-555-0112,1,09:46.0,NULL,1
11195,Megan Henderson,4/14/2021,Renton,8411 Mt. Olivet Place,NULL,560-555-0150,1,09:46.0,NULL,1
11196,Alfredo Romero,3/3/2021,Beaverton,2499 Greendell Pl,NULL,342-555-0110,1,09:46.0,NULL,1
11197,Andrea Morris,5/2/2021,Seattle,1883 Green View Court,NULL,715-555-0178,1,09:46.0,NULL,1
11198,Brooke Sanders,2/5/2021,Santa Cruz,5192 Dumbarton Drive,NULL,215-555-0156,1,09:46.0,NULL,1
11199,Jacqueline Bennett,3/18/2021,Burlingame,8948 Chinquapin Court,NULL,413-555-0174,1,09:46.0,NULL,1
11200,Jason Griffin,2/7/2021,Victoria,7239 Nicholas Drive,NULL,232-555-0160,1,09:46.0,NULL,1
11201,Amanda Foster,7/1/2021,Santa Monica,3984 San Francisco,NULL,505-555-0159,1,09:46.0,NULL,1
11202,Alexia Price,9/15/2021,Lakewood,2079 Wellington Ct,NULL,552-555-0118,1,09:46.0,NULL,1
11203,Luis Diaz,2/20/2021,Port Hammond,3682 Diablo View Road,NULL,171-555-0126,1,09:46.0,NULL,1
11204,Destiny Rivera,8/9/2021,Beaverton,6965 Appalachian Drive,NULL,743-555-0111,1,09:46.0,NULL,1
11205,Abby Fernandez,7/27/2021,Burien,8330 Glenside Court,NULL,134-555-0119,1,09:46.0,NULL,1
11206,Blake Flores,5/11/2021,Lynnwood,9410 Ferry St.,NULL,975-555-0163,1,09:46.0,NULL,1
11207,Danielle Cox,1/31/2021,Renton,2346 Wren Ave,NULL,396-555-0158,1,09:46.0,NULL,1
11208,Maria Reed,3/4/2021,Glendale,1413 Bridgeview St,NULL,156-555-0163,1,09:46.0,NULL,1
11209,Allison Evans,3/25/2021,Lincoln Acres,3515 Sutton Circle,NULL,988-555-0151,1,09:46.0,NULL,1
11210,Edward Wood,5/6/2021,West Covina,1039 Adelaide St.,NULL,229-555-0114,1,09:46.0,NULL,1
11211,Samantha Russell,2/1/2021,Haney,9256 Village Oaks Dr.,NULL,547-555-0121,1,09:46.0,NULL,1
11212,Chloe Campbell,1/30/2021,Metchosin,3562 East Ave.,# 4,205-555-0169,1,09:46.0,NULL,1
11213,Stephanie Murphy,3/28/2021,Edmonds,5514 Grant Street,NULL,293-555-0151,1,09:46.0,NULL,1
11214,Charles Miller,8/14/2021,Milwaukie,2719 Little Dr,NULL,389-555-0115,1,09:46.0,NULL,1
11215,Ana Perry,2/15/2021,Royal Oak,3114 Arlington Way,NULL,446-555-0134,1,09:46.0,NULL,1
11216,Jasmine Torres,8/15/2019,Portland,8328 San Francisco,NULL,939-555-0130,1,09:46.0,NULL,1
11217,Natalie Adams,8/10/2019,Portland,6592 Bent Tree Lane,NULL,300-555-0150,1,09:46.0,NULL,1
11218,Olivia Brown,2/28/2021,Tacoma,3964 Stony Hill Circle,NULL,414-555-0147,1,09:46.0,NULL,1
